trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.5, 'e': 0.8813898427961513}",25,0,-82.70023300096213,"{0: 14, 1: 5, 2: 5, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.879493238279787}",20,0,-60.53133288090605,"{0: 15, 1: 3, 2: 0, 3: 1, 4: 1}",0
125,False,"{'a': 0.5, 'e': 0.8775825618903728}",20,0,-112.6483061943761,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
126,False,"{'a': 0.5, 'e': 0.87565784419869}",20,0,-31.434353535711047,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.8737191160001807}",20,0,-99.32332444572313,"{0: 12, 1: 5, 2: 1, 3: 0, 4: 2}",0
128,False,"{'a': 0.5, 'e': 0.8717664083144548}",25,0,-74.84352249451369,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
129,False,"{'a': 0.5, 'e': 0.8697997523847936}",25,0,-183.77732840439796,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
130,False,"{'a': 0.5, 'e': 0.8678191796776499}",20,0,-63.23807344563051,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
131,False,"{'a': 0.5, 'e': 0.8658247218821448}",20,0,-94.97229593128469,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
132,False,"{'a': 0.5, 'e': 0.8638164109095605}",30,0,-52.89890580554399,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
133,False,"{'a': 0.5, 'e': 0.8617942788928298}",20,5,-123.22386702617503,"{0: 6, 1: 4, 2: 3, 3: 0, 4: 2}",1
134,False,"{'a': 0.5, 'e': 0.8597583581860216}",30,0,-92.75177268629567,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.8577086813638242}",30,14,-5.089706918450827,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.8556452812210225}",20,4,-40.19516390763139,"{0: 10, 1: 3, 2: 2, 3: 1, 4: 0}",1
137,False,"{'a': 0.5, 'e': 0.8535681907719751}",25,9,-90.62446840103138,"{0: 10, 1: 3, 2: 1, 3: 0, 4: 2}",1
138,False,"{'a': 0.5, 'e': 0.8514774432500848}",20,0,-13.784175521342524,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.8493730721072673}",20,0,-114.61002741916583,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
140,False,"{'a': 0.5, 'e': 0.8472551110134161}",25,0,-41.680488271406034,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
141,False,"{'a': 0.5, 'e': 0.8451235938558634}",20,0,-123.00105694790045,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
142,False,"{'a': 0.5, 'e': 0.8429785547388383}",25,0,-17.150780519096585,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
143,False,"{'a': 0.5, 'e': 0.840820027982921}",25,0,-56.69577081286766,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
144,False,"{'a': 0.5, 'e': 0.8386480481244933}",20,0,-21.394225675345247,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.8364626499151869}",25,0,-91.5572343251184,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.8342638683213264}",25,0,-145.05685153095598,"{0: 13, 1: 4, 2: 6, 3: 0, 4: 2}",0
147,False,"{'a': 0.5, 'e': 0.8320517385233703}",30,0,-302.2002970987094,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 6}",0
148,False,"{'a': 0.5, 'e': 0.8298262959153483}",25,0,-77.07931203534821,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
149,False,"{'a': 0.5, 'e': 0.8275875761042946}",30,0,-108.98938410767164,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
150,False,"{'a': 0.5, 'e': 0.8253356149096783}",20,0,-80.17430918064028,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.5, 'e': 0.8230704483628307}",25,12,-65.59146304681218,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 1}",1
152,False,"{'a': 0.5, 'e': 0.8207921127063681}",25,0,-123.61777684500018,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
153,False,"{'a': 0.5, 'e': 0.8185006443936125}",20,12,-20.367507683854274,"{0: 5, 1: 0, 2: 3, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.8161960800880078}",20,0,-140.8465262831079,"{0: 13, 1: 1, 2: 1, 3: 3, 4: 2}",0
155,False,"{'a': 0.5, 'e': 0.8138784566625339}",20,0,-82.52937727531226,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",1
156,False,"{'a': 0.5, 'e': 0.8115478111991162}",25,0,-114.7606779824307,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
157,False,"{'a': 0.5, 'e': 0.8092041809880323}",20,4,-139.86251194752487,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 3}",1
158,False,"{'a': 0.5, 'e': 0.8068476035273155}",20,10,9.508822635908562,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.8044781165221552}",30,0,-100.53735424153706,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.5, 'e': 0.8020957578842927}",20,0,-46.30792053023832,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.7997005657314152}",20,0,-142.98054730618423,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
162,False,"{'a': 0.5, 'e': 0.7972925783865464}",25,0,-160.46069111167947,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
163,False,"{'a': 0.5, 'e': 0.7948718343774324}",25,0,-94.24735970030946,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
164,False,"{'a': 0.5, 'e': 0.7924383724359255}",20,0,-88.2302998811488,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
165,False,"{'a': 0.5, 'e': 0.7899922314973651}",20,0,-120.10544034921972,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
166,False,"{'a': 0.5, 'e': 0.7875334506999537}",20,1,-94.9978084480687,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 1}",1
167,False,"{'a': 0.5, 'e': 0.785062069384132}",20,8,-68.62192030727655,"{0: 8, 1: 1, 2: 1, 3: 1, 4: 1}",1
168,False,"{'a': 0.5, 'e': 0.7825781270919481}",25,0,-51.530426319250495,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
169,False,"{'a': 0.5, 'e': 0.7800816635664256}",25,0,-40.54529955474044,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
170,False,"{'a': 0.5, 'e': 0.7775727187509279}",25,0,-153.47655844241723,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
171,False,"{'a': 0.5, 'e': 0.7750513327885183}",20,0,-115.30712994220129,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
172,False,"{'a': 0.5, 'e': 0.7725175460213186}",25,0,-106.99072270197405,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
173,False,"{'a': 0.5, 'e': 0.7699713989898629}",20,0,-65.74243681489322,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.5, 'e': 0.7674129324324493}",20,0,-108.24574552627445,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
175,False,"{'a': 0.5, 'e': 0.7648421872844884}",20,14,5.784076946221752,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.5, 'e': 0.7622592046778476}",25,0,-57.35438908752262,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
177,False,"{'a': 0.5, 'e': 0.7596640259401933}",20,16,8.851360692757419,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
